date,Gold Price(24 Karat),Gold Price(22 Karat),Gold Price(18 Karat),Gold Price(14 Karat),Gold Price(10 Karat)
04-03-2022,4841,4438,3631,2824,2017
08-03-2022,5055,4633,3791,2948,2106
10-03-2022,4896,4488,3672,2856,2040
14-03-2022,4801,4401,3601,2801,2001
16-03-2022,4710,4317,3532,2747,1962
18-03-2022,4692,4301,3519,2737,1955
22-03-2022,4700,4309,3525,2742,1959
24-03-2022,4808,4407,3606,2805,2003
28-03-2022,4704,4312,3528,2744,1960
30-03-2022,4715,4322,3536,2750,1965
04-04-2022,4687,4296,3515,2734,1953
06-04-2022,4698,4307,3524,2741,1958
08-04-2022,4754,4357,3565,2773,1981
12-04-2022,4813,4412,3610,2808,2006
14-04-2022,4841,4438,3631,2824,2017
18-04-2022,4849,4445,3637,2829,2021
20-04-2022,4799,4399,3599,2799,2000
22-04-2022,4749,4354,3562,2771,1979
26-04-2022,4707,4315,3531,2746,1961
28-04-2022,4668,4279,3501,2723,1945
03-05-2022,4594,4211,3445,2680,1914
05-05-2022,4614,4229,3460,2691,1922
09-05-2022,4613,4229,3460,2691,1922
11-05-2022,4615,4230,3461,2692,1923
13-05-2022,4512,4136,3384,2632,1880
17-05-2022,4514,4138,3386,2633,1881
19-05-2022,4586,4204,3439,2675,1911
23-05-2022,4619,4234,3464,2694,1925
25-05-2022,4615,4231,3461,2692,1923
27-05-2022,4629,4243,3472,2700,1929
31-05-2022,4584,4202,3438,2674,1910
02-06-2022,4651,4264,3488,2713,1938
06-06-2022,4607,4223,3455,2687,1920
08-06-2022,4633,4246,3474,2702,1930
10-06-2022,4703,4311,3527,2744,1960
14-06-2022,4532,4155,3399,2644,1888
16-06-2022,4656,4268,3492,2716,1940
20-06-2022,4608,4224,3456,2688,1920
22-06-2022,4620,4235,3465,2695,1925
24-06-2022,4598,4215,3449,2682,1916
28-06-2022,4627,4241,3470,2699,1928
30-06-2022,4589,4206,3441,2677,1912
04-07-2022,4590,4207,3442,2677,1912
06-07-2022,4419,4051,3314,2578,1841
08-07-2022,4444,4074,3333,2592,1852
12-07-2022,4411,4043,3308,2573,1838
14-07-2022,4391,4025,3293,2562,1830
18-07-2022,4398,4032,3299,2566,1833
20-07-2022,4364,4000,3273,2546,1818
22-07-2022,4436,4067,3327,2588,1848
26-07-2022,4409,4041,3306,2572,1837
28-07-2022,4492,4117,3369,2620,1872
02-08-2022,4449,4078,3336,2595,1854
04-08-2022,4558,4178,3418,2659,1899
08-08-2022,4579,4197,3434,2671,1908
10-08-2022,4556,4177,3417,2658,1899
12-08-2022,4613,4228,3460,2691,1922
16-08-2022,4519,4142,3389,2636,1883
18-08-2022,4512,4136,3384,2632,1880
22-08-2022,4459,4088,3345,2601,1858
24-08-2022,4493,4119,3370,2621,1872
26-08-2022,4468,4096,3351,2606,1862
30-08-2022,4418,4049,3313,2577,1841
02-09-2022,4390,4024,3292,2561,1829
06-09-2022,4370,4006,3277,2549,1821
08-09-2022,4376,4011,3282,2553,1823
12-09-2022,4400,4034,3300,2567,1833
14-09-2022,4333,3972,3249,2527,1805
16-09-2022,4292,3934,3219,2504,1788
20-09-2022,4269,3913,3202,2490,1779
22-09-2022,4356,3993,3267,2541,1815
26-09-2022,4256,3902,3192,2483,1773
28-09-2022,4345,3983,3259,2534,1810
30-09-2022,4358,3995,3269,2542,1816
04-10-2022,4520,4143,3390,2637,1883
06-10-2022,4535,4157,3401,2645,1890
10-10-2022,4421,4053,3316,2579,1842
12-10-2022,4421,4053,3316,2579,1842
14-10-2022,4357,3994,3268,2542,1816
18-10-2022,4370,4006,3278,2549,1821
20-10-2022,4335,3974,3252,2529,1806
24-10-2022,4390,4024,3292,2561,1829
26-10-2022,4385,4020,3289,2558,1827
28-10-2022,4351,3989,3263,2538,1813
02-11-2022,4360,3997,3270,2543,1817
04-11-2022,4437,4067,3328,2588,1849
08-11-2022,4483,4110,3363,2615,1868
10-11-2022,4541,4163,3406,2649,1892
14-11-2022,4610,4226,3457,2689,1921
16-11-2022,4645,4258,3483,2709,1935
18-11-2022,4598,4215,3449,2682,1916
22-11-2022,4572,4191,3429,2667,1905
24-11-2022,4611,4227,3458,2690,1921
28-11-2022,4569,4188,3427,2665,1904
30-11-2022,4624,4238,3468,2697,1927
02-12-2022,4704,4312,3528,2744,1960
06-12-2022,4691,4300,3518,2736,1955
08-12-2022,4734,4339,3550,2761,1972
12-12-2022,4733,4338,3550,2761,1972
14-12-2022,4793,4393,3594,2796,1997
16-12-2022,4747,4351,3560,2769,1978
20-12-2022,4833,4430,3625,2819,2014
22-12-2022,4778,4380,3583,2787,1991
26-12-2022,4818,4417,3614,2811,2008
28-12-2022,4808,4407,3606,2805,2003
30-12-2022,4848,4444,3636,2828,2020
04-01-2021,4563,4183,3422,2662,1901
06-01-2021,4525,4148,3394,2640,1885
08-01-2021,4363,3999,3272,2545,1818
12-01-2021,4368,4004,3276,2548,1820
14-01-2021,4341,3979,3256,2532,1809
18-01-2021,4323,3963,3242,2522,1801
20-01-2021,4383,4018,3288,2557,1826
22-01-2021,4356,3993,3267,2541,1815
26-01-2021,4341,3979,3256,2532,1809
28-01-2021,4324,3964,3243,2522,1802
02-02-2021,4306,3947,3229,2512,1794
04-02-2021,4213,3862,3160,2458,1756
