Date,Gold Price(24 Karat),Gold Price(22 Karat),Gold Price(18 Karat),Gold Price(14 Karat),Gold Price(10 Karat)
10 Sep 2021,4226,3874,3170,2465,1761
14 Sep 2021,4271,3915,3203,2491,1780
16 Sep 2021,4148,3803,3111,2420,1728
20 Sep 2021,4180,3832,3135,2438,1742
22 Sep 2021,4197,3847,3148,2448,1749
24 Sep 2021,4153,3806,3114,2422,1730
28 Sep 2021,4138,3793,3103,2414,1724
30 Sep 2021,4185,3837,3139,2441,1744
4 Oct 2021,4239,3886,3179,2473,1766
6 Oct 2021,4240,3887,3180,2474,1767
8 Oct 2021,4254,3899,3190,2481,1772
12 Oct 2021,4272,3916,3204,2492,1780
14 Oct 2021,4328,3967,3246,2525,1803
18 Oct 2021,4267,3911,3200,2489,1778
20 Oct 2021,4285,3928,3214,2500,1786
22 Oct 2021,4322,3962,3241,2521,1801
26 Oct 2021,4319,3959,3239,2519,1799
28 Oct 2021,4328,3967,3246,2525,1803
2 Nov 2021,4293,3935,3220,2504,1789
4 Nov 2021,4290,3932,3217,2502,1787
8 Nov 2021,4336,3975,3252,2529,1807
10 Nov 2021,4423,4054,3317,2580,1843
12 Nov 2021,4457,4086,3343,2600,1857
16 Nov 2021,4430,4060,3322,2584,1846
18 Nov 2021,4434,4065,3326,2587,1848
22 Nov 2021,4329,3968,3247,2525,1804
24 Nov 2021,4294,3936,3220,2505,1789
26 Nov 2021,4326,3965,3244,2523,1802
30 Nov 2021,4279,3923,3209,2496,1783
2 Dec 2021,4265,3909,3199,2488,1777
6 Dec 2021,4317,3957,3238,2518,1799
8 Dec 2021,4323,3963,3242,2522,1801
10 Dec 2021,4345,3983,3259,2535,1810
14 Dec 2021,4334,3973,3250,2528,1806
16 Dec 2021,4405,4038,3304,2570,1835
20 Dec 2021,4363,4000,3272,2545,1818
22 Dec 2021,4376,4012,3282,2553,1823
24 Dec 2021,4367,4003,3275,2548,1820
28 Dec 2021,4341,3979,3256,2532,1809
30 Dec 2021,4345,3983,3259,2535,1811
2 Jan 2020,3507,3215,2631,2046,1461
6 Jan 2020,3610,3309,2707,2106,1504
8 Jan 2020,3579,3280,2684,2088,1491
10 Jan 2020,3565,3268,2674,2080,1486
14 Jan 2020,3530,3236,2648,2059,1471
16 Jan 2020,3541,3246,2656,2066,1475
20 Jan 2020,3566,3269,2674,2080,1486
22 Jan 2020,3570,3272,2677,2082,1487
24 Jan 2020,3604,3304,2703,2102,1502
28 Jan 2020,3593,3293,2695,2096,1497
30 Jan 2020,3625,3323,2718,2114,1510
4 Feb 2020,3553,3257,2665,2073,1480
6 Feb 2020,3590,3291,2692,2094,1496
10 Feb 2020,3604,3303,2703,2102,1502
12 Feb 2020,3599,3299,2699,2099,1499
14 Feb 2020,3642,3339,2732,2125,1518
18 Feb 2020,3685,3378,2763,2149,1535
20 Feb 2020,3748,3436,2811,2187,1562
24 Feb 2020,3831,3512,2873,2235,1596
26 Feb 2020,3788,3472,2841,2209,1578
28 Feb 2020,3681,3375,2761,2147,1534
3 Mar 2020,3885,3561,2914,2266,1619
5 Mar 2020,3976,3645,2982,2320,1657
9 Mar 2020,3988,3656,2991,2327,1662
11 Mar 2020,3919,3593,2939,2286,1633
13 Mar 2020,3636,3333,2727,2121,1515
17 Mar 2020,3660,3355,2745,2135,1525
19 Mar 2020,3556,3259,2667,2074,1482
23 Mar 2020,3858,3536,2893,2250,1607
25 Mar 2020,3929,3601,2947,2292,1637
27 Mar 2020,3908,3583,2931,2280,1628
31 Mar 2020,3824,3506,2868,2231,1593
2 Apr 2020,3951,3622,2963,2305,1646
6 Apr 2020,4063,3725,3047,2370,1693
8 Apr 2020,4024,3689,3018,2347,1677
10 Apr 2020,4136,3791,3102,2413,1723
14 Apr 2020,4216,3864,3162,2459,1757
16 Apr 2020,4239,3886,3179,2473,1766
20 Apr 2020,4164,3817,3123,2429,1735
22 Apr 2020,4205,3855,3154,2453,1752
24 Apr 2020,4243,3889,3182,2475,1768
28 Apr 2020,4170,3822,3127,2432,1737
30 Apr 2020,4093,3752,3070,2388,1705
4 May 2020,4144,3798,3108,2417,1727
6 May 2020,4142,3797,3106,2416,1726
8 May 2020,4131,3786,3098,2410,1721
12 May 2020,4125,3781,3094,2406,1719
14 May 2020,4206,3856,3155,2454,1753
18 May 2020,4218,3866,3163,2460,1757
20 May 2020,4244,3890,3183,2476,1768
22 May 2020,4240,3887,3180,2473,1767
26 May 2020,4157,3811,3118,2425,1732
28 May 2020,4188,3839,3141,2443,1745
2 Jun 2020,4168,3821,3126,2431,1737
4 Jun 2020,4156,3809,3117,2424,1731
8 Jun 2020,4115,3772,3086,2401,1715
10 Jun 2020,4223,3871,3167,2463,1760
12 Jun 2020,4225,3873,3169,2465,1761
16 Jun 2020,4241,3888,3181,2474,1767
18 Jun 2020,4234,3881,3175,2470,1764
22 Jun 2020,4278,3921,3208,2495,1782
24 Jun 2020,4292,3934,3219,2503,1788
26 Jun 2020,4307,3948,3230,2512,1794
30 Jun 2020,4332,3971,3249,2527,1805
2 Jul 2020,4266,3911,3200,2489,1778
6 Jul 2020,4284,3927,3213,2499,1785
8 Jul 2020,4359,3996,3269,2543,1816
10 Jul 2020,4348,3985,3261,2536,1812
14 Jul 2020,4383,4017,3287,2556,1826
16 Jul 2020,4347,3985,3260,2536,1811
20 Jul 2020,4370,4006,3277,2549,1821
22 Jul 2020,4486,4112,3365,2617,1869
24 Jul 2020,4569,4188,3426,2665,1904
28 Jul 2020,4710,4318,3533,2748,1963
30 Jul 2020,4706,4313,3529,2745,1961
4 Aug 2020,4897,4489,3673,2856,2040
6 Aug 2020,4983,4568,3737,2907,2076
10 Aug 2020,4883,4476,3662,2848,2035
12 Aug 2020,4621,4236,3466,2696,1925
14 Aug 2020,4679,4289,3509,2729,1950
18 Aug 2020,4808,4408,3606,2805,2004
20 Aug 2020,4707,4314,3530,2746,1961
24 Aug 2020,4604,4220,3453,2686,1918
26 Aug 2020,4663,4275,3498,2720,1943
28 Aug 2020,4619,4234,3465,2695,1925
2 Sep 2020,4580,4198,3435,2672,1908
4 Sep 2020,4553,4174,3415,2656,1897
8 Sep 2020,4580,4198,3435,2672,1908
10 Sep 2020,4596,4213,3447,2681,1915
14 Sep 2020,4618,4233,3464,2694,1924
16 Sep 2020,4635,4248,3476,2703,1931
18 Sep 2020,4616,4231,3462,2693,1923
22 Sep 2020,4500,4125,3375,2625,1875
24 Sep 2020,4440,4070,3330,2590,1850
28 Sep 2020,4464,4092,3348,2604,1860
30 Sep 2020,4463,4091,3347,2603,1860
2 Oct 2020,4478,4105,3359,2612,1866
6 Oct 2020,4450,4079,3338,2596,1854
8 Oct 2020,4465,4093,3349,2605,1861
12 Oct 2020,4539,4161,3405,2648,1891
14 Oct 2020,4473,4101,3355,2610,1864
16 Oct 2020,4485,4111,3364,2616,1869
20 Oct 2020,4514,4138,3386,2633,1881
22 Oct 2020,4516,4140,3387,2634,1882
26 Oct 2020,4523,4146,3392,2638,1884
28 Oct 2020,4483,4110,3363,2615,1868
30 Oct 2020,4507,4132,3380,2629,1878
3 Nov 2020,4595,4212,3446,2681,1915
5 Nov 2020,4638,4251,3478,2705,1932
9 Nov 2020,4448,4077,3336,2595,1853
11 Nov 2020,4470,4098,3353,2608,1863
13 Nov 2020,4528,4151,3396,2641,1887
17 Nov 2020,4512,4136,3384,2632,1880
19 Nov 2020,4439,4069,3329,2589,1850
23 Nov 2020,4384,4019,3288,2558,1827
25 Nov 2020,4290,3933,3218,2503,1788
27 Nov 2020,4253,3898,3190,2481,1772
2 Dec 2020,4336,3975,3252,2529,1807
4 Dec 2020,4364,4000,3273,2546,1818
8 Dec 2020,4433,4064,3325,2586,1847
10 Dec 2020,4358,3995,3268,2542,1816
14 Dec 2020,4328,3967,3246,2525,1803
16 Dec 2020,4412,4045,3309,2574,1838
18 Dec 2020,4452,4081,3339,2597,1855
22 Dec 2020,4443,4073,3332,2592,1851
24 Dec 2020,4429,4060,3322,2584,1845
28 Dec 2020,4438,4069,3329,2589,1849
30 Dec 2020,4459,4088,3345,2601,1858
3 Jan 2019,2920,2676,2190,1703,1217
7 Jan 2019,2894,2652,2170,1688,1206
9 Jan 2019,2933,2689,2200,1711,1222
11 Jan 2019,2913,2671,2185,1700,1214
15 Jan 2019,2948,2703,2211,1720,1228
17 Jan 2019,2952,2706,2214,1722,1230
21 Jan 2019,2930,2685,2197,1709,1221
23 Jan 2019,2937,2692,2203,1713,1224
25 Jan 2019,2973,2726,2230,1734,1239
29 Jan 2019,3010,2760,2258,1756,1254
31 Jan 2019,3014,2763,2260,1758,1256
4 Feb 2019,3024,2772,2268,1764,1260
6 Feb 2019,3006,2756,2255,1754,1253
8 Feb 2019,3007,2756,2255,1754,1253
12 Feb 2019,2973,2725,2229,1734,1239
14 Feb 2019,2996,2746,2247,1748,1248
18 Feb 2019,3044,2791,2283,1776,1269
20 Feb 2019,3063,2807,2297,1787,1276
22 Feb 2019,3033,2780,2274,1769,1264
26 Feb 2019,3032,2779,2274,1769,1263
28 Feb 2019,2992,2743,2244,1746,1247
4 Mar 2019,2934,2690,2201,1712,1223
6 Mar 2019,2901,2659,2175,1692,1209
8 Mar 2019,2923,2679,2192,1705,1218
12 Mar 2019,2915,2672,2186,1700,1214
14 Mar 2019,2889,2649,2167,1685,1204
18 Mar 2019,2876,2636,2157,1678,1198
20 Mar 2019,2911,2669,2184,1698,1213
22 Mar 2019,2921,2677,2191,1704,1217
26 Mar 2019,2923,2679,2192,1705,1218
28 Mar 2019,2873,2634,2155,1676,1197
2 Apr 2019,2863,2624,2147,1670,1193
4 Apr 2019,2866,2627,2149,1672,1194
8 Apr 2019,2903,2661,2177,1694,1210
10 Apr 2019,2908,2666,2181,1696,1212
